CT,Latitude,Longitude,O_Area_km2,Population
1,5.34204,-4.14345,16.30438,1928
2,5.34161,-3.9136,12.88787,1521
3,5.26333,-3.96705,0.99297,117
4,5.45137,-4.07001,33.21323,3919
5,6.72941,-3.49623,2.28007,257
6,6.72942,-3.48594,3.1623,377
7,5.27314,-3.98117,1.70078,198
8,5.85801,-3.9117,259.26427,30609
9,5.42112,-4.01445,0.49519,54
10,5.44691,-4.0216,1.98799,234
11,5.43591,-4.00659,1.38773,162
12,5.4207,-4.01875,0.25375,30
13,5.41719,-3.99723,0.87919,103
14,5.4079,-3.99805,0.406,48
15,5.46911,-3.21174,52.09352,6144
16,6.66473,-4.09547,291.40439,34409
17,6.22173,-3.54335,467.50989,55211
18,5.88855,-4.53154,252.24382,29788
19,5.29179,-3.16458,203.22752,23999
20,5.31583,-4.11095,13.39236,1579
21,5.31805,-5.22252,308.63747,36448
22,5.42221,-3.26729,81.54181,9624
23,5.17559,-4.6434,147.83872,17467
24,5.50368,-5.82956,513.9831,60700
25,5.30441,-3.31281,142.16001,16787
26,5.31828,-4.19601,17.99347,2123
27,5.34938,-4.02587,0.24758,29
28,4.77022,-6.85008,363.82384,42840
29,5.24178,-3.88635,17.86595,2109
30,6.09139,-3.85479,116.63463,13772
31,5.25524,-3.93205,4.40493,521
32,5.25452,-3.93289,0.93439,111
33,5.25585,-3.93629,2.89441,342
34,5.25516,-3.93217,0.03786,4
35,6.65709,-3.3891,162.29093,19156
36,6.32425,-3.94379,604.01178,71323
37,5.41437,-2.91929,216.43889,25560
38,5.36259,-4.03065,2.25615,267
39,5.92858,-4.21063,58.3647,6903
40,5.32383,-4.02307,0.16913,19
41,5.36275,-3.95385,1.11222,129
42,5.92862,-4.21744,103.83684,12214
43,6.48586,-4.48023,203.52004,24029
44,7.1279,-3.20485,75.29866,8900
45,5.97902,-3.94427,100.01307,11807
46,6.35854,-3.85541,178.94931,21138
47,6.25781,-4.93826,258.15027,30482
48,6.0468,-6.08808,109.7944,12966
49,5.52631,-4.88978,577.27302,68181
50,7.65729,-5.31295,508.459,60041
51,7.68297,-5.05764,6.55172,768
52,5.47702,-3.80244,126.28884,14914
53,7.66199,-5.0232,9.23186,1093
54,5.28933,-3.96056,0.66718,78
55,6.39418,-3.19681,184.23572,21701
56,5.45098,-4.01155,16.71898,1976
57,5.32767,-4.0397,1.08793,122
58,6.96491,-3.22969,205.03188,24193
59,7.23481,-5.07432,259.25201,30623
60,6.83946,-5.32604,73.67119,8698
61,5.35375,-3.94011,3.08417,362
62,6.34666,-5.50222,137.71581,16275
63,6.37991,-3.88671,24.06961,2842
64,6.93889,-5.87938,184.40094,21779
65,5.44985,-4.36274,132.6778,15667
66,5.67865,-3.06638,104.18266,12291
67,5.65636,-5.62225,236.61362,27943
68,5.20677,-4.36297,41.8118,4936
69,5.26983,-3.96111,2.7803,319
70,5.4971,-3.66106,251.70859,29716
71,5.23428,-3.85077,34.89895,4120
72,5.34994,-3.96196,0.6718,80
73,5.27266,-2.90139,120.94377,14278
74,7.91716,-5.04798,698.19045,82422
75,5.32628,-4.06972,0.47401,53
76,5.31084,-3.95763,1.64527,186
77,5.32126,-4.08809,0.8234,87
78,7.35184,-5.26029,209.74548,24758
79,5.36338,-3.96099,0.53427,60
80,6.82278,-3.57669,286.46735,33828
81,5.32238,-4.06013,0.53834,53
82,5.30374,-3.97537,0.24216,27
83,7.10659,-3.53552,597.70144,70576
84,7.3176,-4.25701,768.20711,90720
85,6.12115,-5.97337,59.89328,7073
86,5.39615,-4.02096,4.95267,583
87,5.34533,-4.09993,0.56818,68
88,6.07631,-4.47086,330.29032,38995
89,6.23048,-3.76525,201.74751,23819
90,5.34298,-4.00638,0.48588,56
91,7.66273,-6.91869,936.17838,110553
92,6.77802,-4.06392,210.34475,24842
93,7.48553,-5.55792,792.45137,93566
94,5.36684,-4.06705,3.87394,453
95,5.40433,-3.98486,0.7737,86
96,5.42625,-4.01015,0.84114,98
97,6.68104,-5.02967,313.28793,36997
98,7.02652,-5.53866,335.94459,39657
99,5.3875,-3.9878,0.79769,97
100,6.65153,-3.6716,390.91152,46163
101,5.34888,-3.9688,0.77349,91
102,5.33884,-3.97267,1.00997,115
103,5.30455,-3.96382,0.78534,89
104,6.3338,-4.52186,498.90453,58910
105,5.49369,-4.04961,30.56534,3610
106,6.5603,-3.41525,345.57949,40807
107,7.88275,-2.85098,183.77585,21676
108,5.98135,-3.17258,144.25695,17005
109,6.29967,-3.33333,126.93792,14989
110,6.98677,-3.3545,138.94068,16407
111,5.33,-4.00775,0.44661,52
112,7.13957,-4.0598,370.15556,43714
113,6.66989,-3.94572,458.02243,54090
114,5.30028,-4.00285,0.31288,34
115,5.21027,-3.76114,31.42,3709
116,7.61025,-5.14975,221.99603,26216
117,6.95364,-3.88878,319.10132,37676
118,7.35259,-5.39288,582.50394,68794
119,6.77575,-4.2861,268.63448,31716
120,5.97372,-3.81207,451.67114,53333
121,5.14369,-3.50752,62.38088,7362
122,6.49995,-4.9843,170.73699,20158
123,7.71228,-2.98866,278.94664,32931
124,5.32314,-4.01988,0.11426,13
125,5.14509,-3.38724,17.45759,2062
126,5.33185,-4.08183,0.71407,83
127,6.78352,-5.11824,208.30255,24599
128,5.54571,-3.98376,168.20499,19854
129,5.45614,-4.17935,118.62241,14015
130,5.36671,-3.97927,0.6766,80
131,6.06715,-4.04517,407.04777,48069
132,6.80222,-5.25004,10.09407,1191
133,9.5025,-7.56439,1676.33472,197845
134,5.60284,-3.1615,327.00045,38626
135,5.63294,-4.04503,278.18326,32850
136,5.52655,-4.08899,125.18378,14782
137,5.313,-4.08878,0.97441,114
138,5.30003,-3.98552,0.25985,26
139,7.12552,-6.78026,183.36524,21654
140,4.76788,-6.65866,2.59626,305
141,6.14865,-5.94555,60.1245,7095
142,5.65708,-4.89402,457.77571,54062
143,5.31874,-4.01889,0.14326,16
144,5.84285,-5.35693,54.4426,6429
145,9.19053,-5.15268,896.28619,105789
146,5.33374,-4.05711,0.52962,61
147,5.36914,-4.11171,8.42273,991
148,5.34668,-3.88921,13.02748,1532
149,6.89785,-7.2145,479.09247,56554
150,6.18078,-6.52221,103.17403,12184
151,6.49383,-5.80809,122.90827,14514
152,7.23788,-6.45959,216.78481,25596
153,5.54863,-6.03692,477.58897,56399
154,9.18568,-7.57463,2100.9916,248008
155,6.45712,-8.40596,188.22745,22058
156,6.32012,-6.42959,140.18303,16552
157,9.50596,-5.44867,354.80953,41897
158,5.41455,-6.00307,330.50925,39024
159,5.20854,-6.34647,578.58438,68330
160,6.70173,-4.30627,120.13722,14187
161,9.4741,-5.62566,396.96248,46878
162,8.83983,-6.73561,1363.53275,161020
163,5.33306,-4.07387,0.48226,52
164,7.18813,-6.18901,334.92321,39553
165,5.34772,-4.02218,0.12583,12
166,7.01918,-7.49352,516.45335,60989
167,6.16449,-4.34099,377.3419,44559
168,5.29779,-3.96216,0.54415,59
169,4.77257,-6.66898,31.47165,3713
170,5.24696,-3.95148,0.84246,100
171,5.33845,-4.09151,0.50282,58
172,6.82433,-5.29165,9.3073,1089
173,5.20895,-3.74197,2.90111,334
174,8.04059,-4.13471,1579.9826,186578
175,6.00817,-5.98932,243.10819,28704
176,6.46199,-5.95894,236.03741,27871
177,5.90714,-4.00802,174.74392,20637
178,6.47148,-3.84168,380.09221,44885
179,7.16895,-6.27719,185.56025,21909
180,5.27547,-3.59959,6.12302,724
181,6.87054,-6.85641,334.88705,39547
182,5.40675,-4.00565,0.46599,51
183,5.30321,-3.996,0.46655,50
184,5.3476,-3.98118,0.55102,67
185,6.77943,-4.45836,267.89624,31626
186,7.67909,-5.57066,394.21556,46542
187,5.33662,-3.96044,1.35313,155
188,5.35688,-4.02385,0.08498,10
189,6.07837,-3.41027,547.23714,64624
190,5.34293,-4.0143,0.72508,79
191,5.44459,-3.98109,59.4691,7024
192,5.31191,-4.00462,0.70198,83
193,7.73286,-7.61935,338.21636,39935
194,6.00951,-3.19408,188.8757,22305
195,6.80255,-3.75462,465.36276,54945
196,5.33385,-4.0239,0.35787,40
197,6.63773,-6.21975,252.63021,29831
198,5.34644,-4.03121,0.50186,58
199,6.07169,-3.63036,555.38404,65576
200,5.27282,-3.972,0.91968,109
201,6.20806,-6.14542,164.60857,19437
202,5.93845,-4.36045,185.44653,21901
203,6.76874,-8.31238,266.67476,31393
204,5.82019,-4.69351,278.10823,32843
205,5.40011,-3.99589,0.47416,56
206,6.56248,-5.01563,103.8612,12265
207,5.35592,-3.88979,13.74861,1625
208,7.33873,-6.03408,337.64719,39874
209,5.35534,-4.02644,0.27949,34
210,4.93483,-6.58055,227.21307,26829
211,5.34803,-3.86992,68.21116,8054
212,6.31664,-5.71281,177.99151,21015
213,7.15516,-7.17006,669.81553,79096
214,10.196,-6.40205,1297.91063,153270
215,4.52897,-7.46896,572.08278,67457
216,5.32433,-3.99823,0.69523,81
217,6.59438,-7.98344,530.23994,62619
218,5.32849,-4.00602,0.16203,19
219,7.04425,-4.54144,1003.68823,118521
220,5.90559,-4.67297,233.25876,27543
221,7.89707,-5.487,554.83515,65521
222,6.38557,-6.20083,211.43502,24968
223,9.90651,-7.33477,940.70727,111073
224,6.65418,-6.52537,242.54933,28639
225,5.32566,-4.05386,0.66211,77
226,5.39893,-3.98142,0.45715,53
227,7.1983,-4.80806,674.17234,79605
228,6.58296,-3.77614,388.55576,45882
229,8.28194,-3.23296,1254.64667,148149
230,8.04267,-2.80198,44.88389,5297
231,5.48876,-3.52619,372.55437,43950
232,6.6585,-4.20486,42.3818,5004
234,7.68394,-4.21096,798.45938,94288
235,5.37053,-3.95654,0.70601,84
236,8.35232,-4.64094,2534.69999,299317
237,5.34494,-4.10672,3.69704,422
238,6.37021,-5.21772,321.96277,38010
239,6.92457,-6.05127,167.58249,19786
240,5.26188,-3.59676,64.37674,7601
241,7.14573,-6.48589,210.48491,24854
242,5.36086,-3.96436,0.54386,63
243,6.73469,-3.51215,10.38527,1226
244,8.83942,-7.75845,1212.34896,142996
245,5.31764,-4.01486,0.08015,4
246,8.7741,-7.50852,1315.88628,155390
247,7.87791,-5.29514,412.16916,48662
248,7.01237,-5.26035,112.20279,13250
249,7.2633,-5.85471,457.48787,54029
250,6.98254,-5.7533,22.36936,2643
251,7.68152,-5.03116,4.63985,544
252,8.21138,-5.67218,637.00815,75227
253,6.2513,-3.80428,119.86146,14151
254,5.63403,-5.31967,272.05359,32122
255,9.27721,-2.9829,2973.74586,350944
256,6.72243,-5.48929,249.90875,29516
257,9.5217,-6.55788,1979.79472,233788
258,5.35985,-4.024,0.22134,27
259,5.2964,-3.81509,104.63091,12358
260,5.43389,-4.01595,0.37892,44
261,5.30904,-4.16275,48.01552,5672
262,7.6005,-4.84635,768.3599,90736
263,6.49878,-6.37964,200.09599,23626
264,6.91292,-4.04034,236.88786,27972
265,7.60179,-6.51694,896.82395,105905
266,5.51959,-5.5269,256.17076,30253
267,6.65499,-4.22151,55.4125,6537
268,6.25824,-7.00421,298.79599,35288
269,6.24747,-7.0145,207.88524,24547
270,6.82117,-5.26186,1.96219,225
271,5.41946,-3.98762,1.34227,156
272,6.71502,-3.49559,66.88428,7895
273,6.86776,-5.27874,13.60109,1601
274,5.30673,-3.9372,15.98603,1890
275,5.34169,-3.98847,1.0809,123
276,7.65189,-5.02719,100.924,11916
277,4.73619,-6.61336,46.42827,5429
278,5.29762,-3.98565,0.11012,12
279,5.33062,-4.02845,0.63364,75
280,5.35766,-4.01573,0.61048,71
281,5.29739,-4.00078,0.23818,26
282,5.38147,-3.98391,1.004,119
283,5.30783,-4.0019,0.40699,48
284,6.24356,-4.39761,375.77237,44383
285,5.41918,-4.02162,0.59076,68
286,5.3547,-4.09153,0.78806,89
287,5.30702,-4.0881,8.71193,1028
288,7.95491,-6.68161,503.71789,59482
289,5.35597,-4.07393,0.34902,38
290,5.29519,-4.00345,0.52996,63
291,7.26764,-3.08349,209.80429,24784
292,5.32348,-4.01494,0.17409,19
293,6.1936,-7.62726,1332.82392,157306
294,5.70333,-5.07624,252.25832,29787
295,7.14386,-3.20473,125.65659,14819
296,7.70575,-5.06052,23.55142,2783
297,5.36367,-4.0246,0.38397,44
298,5.39982,-4.01092,0.87619,104
299,6.8716,-6.44185,3.44667,403
300,5.36357,-3.93541,1.99935,235
301,5.35705,-4.03383,0.98699,114
302,5.39196,-3.92971,54.41438,6425
303,5.33067,-4.11059,1.74845,203
304,5.29153,-3.96551,0.34184,38
305,5.42382,-3.99967,1.0957,129
306,5.3742,-4.00075,0.93852,109
307,5.32148,-4.01714,0.06263,7
308,5.34015,-4.00441,0.49744,56
309,5.43861,-4.01361,0.2261,26
310,5.43864,-4.01369,0.28518,35
311,5.29944,-3.96712,0.29671,34
312,5.27596,-4.00822,1.3713,164
313,5.3375,-4.06448,0.62378,68
314,4.74513,-6.62944,6.06765,717
315,6.76156,-5.21533,60.68991,7168
316,5.38932,-4.08861,19.87328,2346
317,5.32236,-4.66562,297.87534,35178
318,5.35801,-3.95737,0.90421,105
319,6.39252,-6.49072,200.27058,23650
320,5.34085,-4.32376,92.40152,10914
321,5.31071,-4.01204,0.35362,42
322,8.3754,-4.38975,3973.30582,469201
323,5.31898,-4.37554,50.10402,5916
324,7.81448,-2.94529,199.82905,23585
325,5.11472,-6.813,360.6883,42595
326,6.54833,-6.3202,202.69034,23935
327,5.30166,-5.51077,323.13088,38153
328,5.67399,-5.4664,216.53525,25570
329,5.25603,-6.06553,378.60575,44695
330,5.34097,-4.04546,1.38316,165
331,6.88631,-6.4505,3.97912,471
332,7.04986,-3.15333,192.73191,22715
333,7.25926,-8.15226,256.67686,30311
334,7.13352,-6.84128,274.55109,32423
335,7.05564,-3.9658,27.63119,3264
336,7.71535,-5.03107,4.94243,584
337,5.09978,-5.82419,257.90127,30365
338,6.99421,-5.74122,159.08466,18764
339,5.30877,-4.04412,8.93332,1054
340,5.36441,-4.39014,14.24399,1683
341,7.31154,-6.59073,193.03875,22797
342,4.72531,-6.64948,13.0243,1508
343,6.10866,-5.92821,49.30103,5826
344,5.32061,-4.01922,0.11774,13
345,7.75733,-5.19536,298.06565,35200
346,5.39369,-3.98182,0.5016,59
347,5.82776,-5.35873,174.15371,20565
348,6.22379,-3.32776,183.22075,21640
349,6.57247,-3.33569,187.51753,22117
350,6.77681,-4.58169,307.03647,36236
351,6.78645,-6.04054,283.68199,33499
352,8.94331,-6.26735,1889.67818,223149
353,8.74013,-6.19312,1625.69295,191970
354,8.1949,-6.59782,619.537,73157
355,5.40063,-3.33338,77.37262,9141
356,10.09769,-5.46584,639.1764,75482
357,6.4595,-8.09237,832.38978,98209
358,5.34135,-4.0264,0.49092,58
359,5.67607,-2.99496,82.91317,9716
360,5.44659,-4.0173,0.56655,66
361,7.09519,-4.96368,442.56007,52257
362,6.02274,-5.33398,384.3629,45396
363,6.29031,-5.57904,281.17177,33200
364,6.49549,-4.41005,133.18571,15727
365,6.29055,-6.2763,138.70587,16376
366,9.0607,-5.77795,716.19139,84572
367,6.64737,-4.70515,30.36164,3585
368,5.2825,-3.59729,39.6687,4633
369,5.65292,-3.76341,648.54033,76591
370,6.73924,-3.48976,37.88698,4472
371,6.79978,-5.28663,22.28578,2629
372,8.9438,-7.16542,1937.81179,228827
373,5.83575,-5.36585,37.39101,4407
374,6.90421,-6.16766,199.05005,23506
375,6.15155,-3.64951,130.14359,15327
376,4.76105,-6.64453,7.18145,846
377,7.53635,-5.07932,173.92762,20537
378,6.47698,-5.11082,216.4246,25574
379,5.27995,-3.00493,95.94438,11328
380,5.77537,-6.59396,65.55128,7738
381,5.40215,-3.97841,0.52423,61
382,8.76412,-6.97252,1262.43123,149081
383,5.75832,-5.05917,243.08883,28705
384,5.64062,-6.89104,1144.9352,135206
385,5.39648,-3.99421,0.6267,74
386,5.37985,-7.30751,862.01958,101747
387,5.20702,-6.82034,821.42953,96994
388,4.9339,-7.0676,1009.93505,119252
389,6.57752,-8.09925,389.08436,45939
390,6.89085,-7.0632,486.77882,57483
391,7.40757,-7.55849,25.54637,3015
392,9.80288,-3.30314,6021.65283,710649
393,6.99896,-5.61529,249.87115,29505
394,5.32152,-4.02559,0.51815,63
395,5.27949,-5.32508,251.40057,29688
396,6.4169,-5.54909,114.38853,13490
397,8.10914,-6.55859,524.79071,61970
398,6.73604,-7.3357,67.10898,7917
399,7.10288,-3.44485,326.12691,38512
400,5.72178,-3.10317,182.03092,21474
401,6.36495,-3.34959,152.63898,18006
402,5.15643,-3.10828,203.64185,23713
403,5.197,-2.94687,64.4289,7612
404,5.2492,-3.90797,11.69358,1380
405,5.28737,-3.03609,104.48176,12336
406,5.67444,-4.18183,199.96573,23613
407,5.68707,-4.51743,108.88705,12859
408,5.43876,-4.0242,0.84308,98
409,5.37435,-3.97813,1.08787,126
410,5.3584,-3.99866,1.03029,120
411,7.70456,-5.0092,6.83291,807
412,6.8655,-5.24357,13.30308,1564
413,6.24359,-5.37673,149.43601,17647
414,6.86506,-6.43392,17.48813,2064
415,7.30311,-3.75126,751.06969,88693
416,5.97701,-4.20603,134.59336,15840
417,7.37782,-7.38354,550.94959,65066
418,5.30081,-4.01328,0.92543,110
419,5.477,-4.05564,5.67344,671
420,5.44615,-4.02954,3.28279,385
421,7.88702,-3.97875,834.32244,98521
422,5.31027,-3.94752,1.27465,146
423,5.43325,-4.02693,1.08557,130
424,4.98273,-6.66321,161.78155,19105
425,5.32725,-4.0182,0.20861,26
426,6.80278,-7.40235,335.36837,39618
427,9.88881,-6.88195,2106.82618,248780
428,9.57733,-5.17323,253.21247,29895
429,7.71833,-4.99119,325.02787,38378
430,4.80388,-6.63938,164.55104,19431
431,5.34865,-4.07319,0.43562,51
432,8.52285,-3.09357,1598.72998,188742
433,5.34676,-3.95424,1.34903,160
434,6.78831,-5.26056,10.42728,1230
435,5.39432,-4.0069,1.11065,130
436,5.34733,-4.0255,0.2184,23
437,5.2738,-4.00176,1.02062,118
438,5.3213,-4.03918,0.78374,89
439,5.14334,-2.96027,78.27153,9230
440,5.34743,-4.02037,0.4046,48
441,5.11436,-5.59607,169.9363,20072
442,5.31541,-3.99676,0.73926,87
443,5.31108,-3.97199,1.88409,217
444,8.23287,-5.13652,505.11409,59645
445,7.66744,-5.07506,68.48687,8079
446,6.28901,-5.37407,147.13028,17373
447,6.38666,-6.39896,122.50823,14463
448,5.01497,-6.55624,100.71134,11893
449,7.05772,-6.46946,234.37031,27668
450,6.67498,-6.16847,125.45146,14813
451,6.13072,-5.94227,7.99339,945
452,6.13905,-5.95607,24.75448,2923
453,5.0404,-6.74457,169.31788,19994
454,5.99579,-6.30846,303.94088,35900
455,5.29123,-3.94841,5.67686,672
456,6.96802,-5.81186,148.16551,17495
457,5.35227,-4.0206,0.18961,21
458,5.47693,-5.57807,299.00106,35308
459,5.99654,-6.42029,98.89288,11677
460,5.7488,-6.35372,197.02041,23269
461,4.9917,-7.51002,343.79305,40460
462,7.40851,-7.53305,138.32538,16333
463,6.46096,-7.13925,990.1839,116928
464,5.44176,-4.03997,1.82724,216
465,6.77757,-6.58568,227.65756,26881
466,9.84215,-6.44552,135.07735,15946
467,4.64502,-6.9431,85.26532,10064
468,5.33689,-4.45989,82.60483,9756
469,5.25954,-5.01157,465.80493,54989
470,5.37383,-3.9361,3.80365,441
471,5.36168,-4.09819,1.0331,123
472,6.84872,-8.2558,258.45292,30485
473,6.20263,-7.4887,482.46629,56973
474,5.20052,-6.69567,160.96461,19010
475,6.09599,-6.92058,199.26423,23531
476,5.9913,-5.84253,286.12844,33788
477,5.16862,-5.78888,291.01327,34344
478,5.90172,-6.1251,382.33444,45120
479,5.69381,-6.65801,178.33374,21062
480,5.13736,-6.5623,175.34399,20708
481,5.7884,-6.58812,46.15052,5449
482,5.89164,-6.41128,164.45958,19407
483,6.89773,-6.2445,74.37924,8783
484,6.11662,-5.93382,12.0937,1425
485,5.65603,-6.26447,464.16285,54809
486,5.24334,-6.6443,161.73127,19095
487,7.46817,-5.87573,339.30339,40062
488,7.57505,-5.87165,476.53227,56274
489,5.33199,-3.98246,1.87694,217
490,5.33081,-3.97014,1.91999,223
491,5.74175,-4.44255,122.26917,14436
492,6.9108,-6.24155,89.42439,10555
493,7.72555,-5.05694,61.89548,7307
494,5.24271,-3.91832,0.68376,81
495,5.33197,-4.06511,0.57687,65
496,6.97605,-3.98162,136.68981,16140
497,6.14353,-5.09604,241.79249,28552
498,7.24894,-6.25725,173.43569,20479
499,10.0322,-7.23234,1444.57135,170459
500,7.89601,-2.96723,129.33241,15267
501,7.51673,-6.53674,313.77713,37051
502,6.71984,-5.17329,75.238,8881
503,6.5719,-7.41663,358.73194,42356
504,4.92215,-7.4104,693.00098,81798
505,6.02429,-3.97072,93.9337,11093
506,5.47358,-3.76771,50.37799,5947
507,5.82758,-4.13166,263.2385,31088
508,6.12031,-6.54405,144.67629,17080
509,5.3201,-4.01151,0.43338,48
510,6.20088,-6.90304,191.97283,22663
511,5.83572,-5.49805,352.5813,41592
512,5.05034,-6.41961,208.52268,24602
513,5.37013,-3.95159,1.46439,172
514,5.34973,-4.09221,0.22729,24
515,6.8994,-7.4632,584.71779,69045
516,6.74081,-6.94292,261.92283,30932
517,5.7403,-4.24977,209.35245,24720
518,5.6873,-6.06459,444.02608,52427
519,6.26589,-6.20244,68.40916,8081
520,6.72662,-7.10427,436.36162,51529
521,6.54446,-7.48858,236.80946,27944
522,6.23627,-6.17791,104.09238,12289
523,9.2243,-5.72985,737.789,87128
524,6.54896,-7.49958,677.84349,80035
525,5.53286,-5.24042,240.96012,28454
526,5.28076,-3.96858,0.8128,93
527,4.69138,-6.9618,191.26566,22585
528,4.74389,-7.11337,401.14788,47370
529,5.93634,-5.02685,223.17632,26351
530,5.56904,-5.37514,188.67247,22292
531,6.19529,-5.30472,145.17749,17135
532,5.30246,-3.97368,0.2301,23
533,6.74593,-7.34652,38.73064,4571
534,6.74444,-7.35267,77.43894,9151
535,9.60201,-5.27129,101.40027,11971
536,6.87289,-6.46277,9.02021,1065
537,5.29142,-3.97182,0.4036,47
538,6.55712,-6.82948,371.68184,43889
539,4.68602,-7.41278,640.43299,75584
540,5.27102,-4.08068,51.06984,6027
541,5.21655,-3.74104,7.19429,845
542,5.32534,-4.02149,0.07331,9
543,6.12383,-3.86147,65.22991,7706
544,5.33764,-4.02152,0.6067,69
545,5.30865,-3.98285,1.0563,122
546,5.34479,-3.99791,0.54673,65
547,6.88415,-5.23034,100.6536,11886
548,5.40861,-3.97922,0.76745,89
549,5.26421,-3.99785,1.01049,121
550,5.34732,-4.00971,0.68919,83
551,6.71011,-6.12115,151.97319,17944
552,6.16658,-3.91809,228.7383,27006
553,5.27757,-4.81095,230.36803,27198
554,6.02769,-5.16295,203.02274,23969
555,6.48682,-6.59113,74.01188,8742
556,6.49582,-6.57473,95.22693,11229
557,6.92131,-8.11111,496.97722,58689
558,5.32999,-4.00086,0.36629,46
559,5.20926,-4.41012,90.56702,10685
560,5.35122,-4.09398,0.33019,36
561,5.24282,-3.90031,2.06537,241
562,5.28796,-3.99023,1.09438,129
563,4.74355,-6.63813,3.5422,415
564,4.75082,-6.6551,6.45953,761
565,7.73676,-7.70227,697.16672,82318
566,5.36885,-3.9082,20.6737,2437
567,8.95747,-5.88051,1070.34135,126396
568,5.35436,-4.04805,1.87213,220
569,6.14902,-5.35869,263.81797,31154
570,5.29617,-3.96803,0.37812,42
571,6.84095,-5.14881,259.698,30651
572,5.30036,-3.38467,105.37952,12443
574,5.36474,-3.97089,0.58835,72
575,10.36224,-6.19015,516.24679,60794
576,5.35884,-3.92274,4.03265,476
577,6.64537,-4.18986,234.7308,27718
578,8.39649,-6.56854,1970.03428,232636
579,9.81088,-7.49436,492.40137,58145
580,5.25372,-3.96428,0.55934,66
581,7.32934,-6.22362,406.84035,48040
582,9.88316,-6.19027,1018.48308,120263
583,8.15041,-5.10173,276.2923,32628
584,5.36651,-4.10786,1.81484,212
585,7.68426,-5.0047,51.96306,6132
586,5.89888,-3.16317,312.01845,36824
587,6.38769,-3.88834,164.31853,19407
588,7.16472,-6.65719,311.94092,36830
589,6.83077,-6.51092,81.96527,9675
590,5.42697,-3.98813,1.80898,213
591,5.29149,-3.99902,0.87824,104
592,5.3972,-6.55413,130.04499,15356
593,6.73757,-3.59354,148.3267,17526
594,6.74012,-4.63279,189.311,22355
595,7.45964,-3.92508,591.81751,69885
596,5.56565,-2.99732,240.75926,28431
597,5.25905,-6.53855,139.14938,16435
598,5.48661,-3.35763,303.57003,35826
599,6.23903,-5.9375,208.83135,24654
600,6.55159,-5.24672,208.09374,24572
601,6.78185,-5.27624,32.71829,3865
602,9.75921,-6.4732,701.66763,82860
603,9.30823,-5.43312,603.74726,71299
604,5.85231,-5.36103,161.45655,19063
605,7.4737,-5.08948,227.19773,26830
606,6.0228,-6.66091,256.25778,30260
607,6.65325,-5.61011,348.37922,41134
608,9.17082,-4.59598,7801.66084,921040
609,7.75953,-6.10315,952.53861,112455
610,6.1782,-6.64281,193.85567,22891
611,9.45349,-5.63055,12.33264,1454
612,9.42033,-5.6234,167.90749,19830
613,8.50366,-7.45753,1350.68695,159509
614,7.01351,-5.47422,301.03562,35542
615,5.71696,-5.61558,175.73527,20754
