CT,Latitude,Longitude,O_Area_km2,Population
616,7.74399,-5.02997,118.75511,14027
617,4.64042,-7.15803,314.0544,37088
618,6.69583,-4.12693,112.14282,13248
619,5.50817,-2.89407,389.4101,45895
620,5.28325,-3.49336,133.31539,15735
621,6.60173,-5.45356,295.43285,34889
622,7.81027,-3.54247,729.31921,86128
623,7.35809,-4.68146,517.75474,61131
624,5.84314,-5.68791,72.29203,8533
625,5.34608,-4.09114,0.46336,53
626,6.61778,-6.02167,290.71797,34333
627,7.23114,-7.21522,586.2751,69231
628,5.2963,-3.95544,0.73968,87
629,7.55024,-3.26713,731.90574,86434
630,7.76463,-5.82622,1006.33565,118827
631,9.87601,-6.42427,266.64705,31491
632,5.31821,-4.06012,3.15647,363
633,6.15226,-4.7229,461.49406,54496
634,5.79164,-6.49981,159.24178,18802
635,7.7121,-7.5463,1201.55675,141897
636,6.53935,-5.19887,141.19308,16671
637,6.33257,-4.87138,469.68607,55426
638,5.33207,-4.39867,33.32231,3935
639,5.42035,-6.62666,124.11248,14658
640,5.39003,-3.21182,91.65917,10830
641,5.1427,-6.35018,196.11525,23158
642,5.35746,-4.02095,0.13961,15
643,8.0353,-2.79948,49.5425,5851
644,9.59777,-5.05571,1849.186,218212
646,5.32393,-4.11574,5.51901,649
647,5.31347,-3.99165,1.14433,130
648,6.22136,-5.70526,317.53199,37495
649,5.8562,-5.68231,145.58631,17194
650,5.28469,-3.97676,0.69016,80
651,9.58372,-5.20995,73.62564,8696
652,5.9765,-4.15897,176.78714,20875
653,8.2876,-2.98129,811.62007,95911
654,7.0642,-3.96823,173.44231,20483
655,5.33576,-3.45973,110.31353,13029
656,5.36071,-4.01914,0.30619,36
657,5.37289,-3.97012,0.81211,94
658,5.20065,-5.29722,311.88377,36583
659,5.41814,-3.9758,9.68685,1144
660,6.31404,-6.31988,122.1069,14420
661,5.3342,-4.09424,0.63716,75
662,7.3959,-7.54355,30.82421,3639
663,5.91526,-6.47702,96.98221,11449
664,5.97814,-6.36245,90.13324,10643
665,5.20874,-3.7346,3.71327,437
666,6.8602,-6.60287,157.14625,18559
667,6.11504,-6.83948,262.69332,31021
668,7.12453,-7.55909,384.70802,45428
669,5.3145,-4.03564,1.5942,188
670,5.31668,-4.09802,1.68999,202
671,6.96619,-5.27738,118.67029,14015
672,6.36965,-4.98681,211.22342,24943
673,7.09247,-5.03483,174.12434,20563
674,5.41264,-4.46471,125.42679,14802
675,8.03,-5.21883,463.49373,54744
676,6.57476,-4.89376,400.4845,47289
677,6.52535,-6.73064,306.31384,36174
678,5.80707,-4.33608,191.95042,22662
679,6.28588,-6.78079,374.75926,44254
680,7.08731,-6.22495,245.47008,28984
681,5.29614,-3.99204,0.45653,55
682,5.40204,-4.00608,0.37821,43
683,5.66865,-6.42082,376.08953,44391
684,5.38108,-4.07577,8.52094,1003
685,5.38497,-4.01845,1.91257,226
686,9.61964,-6.91038,1835.32632,216734
687,5.39194,-3.02658,158.54635,18721
688,5.12829,-3.30666,76.45641,9033
689,5.3471,-4.05198,0.96052,110
690,5.30056,-3.9892,0.40831,47
691,6.01381,-6.04864,97.1038,11464
692,6.10196,-6.12058,175.93304,20776
693,10.12742,-5.20183,606.05242,71470
694,7.19224,-7.90528,530.1418,62603
695,5.35394,-3.97663,0.57384,69
696,5.36105,-4.06651,0.84363,98
697,7.41145,-7.54932,42.80378,5055
698,7.37297,-7.57489,103.37335,12205
699,7.40023,-5.91833,193.08893,22799
700,7.62034,-7.60791,380.90873,44983
701,5.36377,-3.97546,0.47915,54
702,8.05751,-6.18802,778.37055,91914
703,5.28247,-3.95904,2.01826,239
704,6.81658,-3.30262,300.291,35441
705,8.08773,-5.44295,734.81154,86771
706,8.60493,-2.72293,2193.27438,258852
707,5.30295,-3.95347,0.70761,84
708,5.15596,-3.40597,71.44786,8437
709,6.82205,-5.24334,22.26905,2629
710,5.34174,-4.09868,0.6659,76
711,7.92181,-6.49954,913.86893,107915
712,5.02188,-6.49768,139.25862,16443
713,6.09142,-6.39711,293.87376,34700
714,5.27773,-3.97298,0.56561,65
715,7.47999,-4.35322,966.47709,114123
716,6.47009,-4.35091,490.60808,57929
717,9.95933,-5.91028,1222.95647,144423
718,5.56938,-4.23278,198.65551,23458
719,5.39928,-6.56436,48.20678,5692
720,5.35294,-3.9869,0.92374,110
721,5.18737,-3.32607,135.60401,16006
722,5.51104,-3.74586,105.66596,12481
723,4.53905,-7.27146,309.96987,36603
724,5.33062,-4.08983,0.67669,79
725,5.28791,-3.98115,0.33623,38
726,5.33878,-3.99692,0.52248,63
727,5.30186,-3.94806,1.06324,121
728,5.43372,-4.01033,0.44804,45
729,5.26297,-3.97711,1.49411,177
730,6.04237,-3.90163,91.31091,10782
731,5.3307,-3.99212,0.83987,98
732,5.32725,-4.00517,0.1009,11
733,5.32661,-4.00469,0.42355,46
734,5.34897,-4.02278,0.10566,10
735,5.322,-4.01296,0.07748,10
736,5.30323,-4.01966,2.65748,311
738,5.31585,-4.01829,0.1143,14
739,5.32823,-4.02298,0.06836,8
741,5.32195,-4.01361,0.02639,3
742,5.31734,-4.02586,0.79029,92
744,5.32633,-4.02013,0.05755,5
745,5.33089,-4.02081,0.25894,29
746,5.32192,-4.01671,0.05536,6
747,5.31764,-4.01486,0.1133,12
748,5.37554,-4.08897,1.23485,145
750,5.29965,-3.97731,0.47384,53
751,5.35642,-4.05421,2.42076,286
752,9.93639,-7.80106,3483.2596,411028
753,6.47477,-6.58516,92.96876,10968
754,5.35651,-4.02527,0.11161,11
755,5.36507,-4.01464,0.93219,107
756,5.35339,-4.0155,0.579,69
757,6.19877,-3.81531,106.65051,12595
758,5.23996,-3.90936,0.41418,48
759,7.6718,-5.04626,7.39264,875
760,5.18427,-3.67639,37.25673,4400
761,7.08947,-6.84649,355.45005,41966
762,9.46082,-5.64969,557.70295,65853
763,8.07764,-6.83869,1082.96395,127884
764,7.45895,-7.63044,515.23284,60844
765,5.22847,-3.72643,71.42388,8435
766,7.26746,-8.16017,1596.10346,188304
767,6.84786,-5.29597,11.39805,1345
768,6.07833,-4.70996,286.25068,33804
769,8.97282,-6.79654,1886.52729,222776
770,6.80776,-5.27004,2.22429,264
771,5.30851,-3.6319,89.75682,10602
772,5.37741,-4.02534,5.36648,634
773,4.90535,-6.37002,391.97437,46205
774,6.25181,-3.39334,199.87906,23601
775,5.37344,-3.08964,80.0554,9451
776,5.36343,-3.98914,0.63211,74
777,5.36329,-3.98893,0.49999,58
778,4.76278,-6.67887,117.03765,13726
779,10.07516,-5.32958,559.99874,66125
780,5.78616,-6.60749,35.65706,4207
781,5.34771,-4.03639,1.03795,122
782,9.1923,-4.74879,2156.69764,254685
783,6.36976,-6.26635,98.97488,11684
784,6.37421,-6.68881,293.53191,34662
785,9.71782,-5.17867,323.61739,38211
786,5.33967,-4.05711,0.57424,67
787,5.43659,-3.99245,2.23982,268
788,9.30359,-5.59628,432.20566,51032
789,8.51105,-3.49754,5264.3176,621672
790,5.26488,-4.22983,79.59382,9396
791,5.44585,-4.06356,2.0079,236
792,5.85524,-4.76944,190.77714,22529
793,6.86385,-5.79284,185.82442,21944
794,6.66093,-5.15112,158.79109,18752
795,6.71065,-4.4406,242.59241,28634
796,5.1883,-7.34368,903.91752,106692
797,5.79773,-5.72696,252.99694,29876
798,7.26017,-5.13613,203.06635,23988
799,7.0559,-3.75974,577.39004,68171
800,5.31775,-4.05394,1.36548,162
801,6.4625,-4.39997,119.06733,14048
802,6.63531,-4.28525,193.86326,22894
803,7.99072,-5.46645,313.98402,37072
804,6.65524,-3.2737,177.08633,20866
805,8.61868,-5.27313,2205.41799,260439
806,5.69594,-5.75623,417.74136,49333
807,7.05415,-3.27846,153.15615,18081
808,5.32157,-4.09871,0.96493,108
809,7.29416,-7.44519,328.07246,38749
810,10.1801,-5.66405,730.32989,86235
811,5.37052,-4.09409,0.83793,99
812,9.57592,-6.07572,1042.72366,123134
813,5.76302,-6.12603,305.66037,36096
814,5.43275,-3.99477,0.91838,107
815,5.28613,-2.82152,288.88813,34007
816,5.40851,-6.55609,223.03235,26336
817,5.30326,-4.00341,0.28836,30
818,5.18648,-2.90918,186.03451,21930
819,5.42385,-4.01912,0.53252,63
820,5.4001,-4.52034,213.72528,25233
821,5.3144,-4.01536,0.2549,29
823,6.72158,-3.51488,64.77866,7640
824,7.07423,-4.24341,572.21664,67572
825,5.98832,-4.8301,215.02906,25394
826,5.37751,-3.39346,104.0477,12287
827,5.57972,-3.84118,238.88331,28205
828,6.82078,-5.25332,2.03714,239
829,5.3547,-4.09969,1.19236,141
830,5.90063,-6.63794,121.02258,14288
831,5.2567,-3.96046,1.38104,162
832,5.44672,-4.05112,1.59289,189
833,9.5295,-7.52369,569.82741,67293
834,7.70139,-5.03665,5.52882,650
835,5.97389,-4.47913,191.16848,22577
836,5.33228,-4.0497,0.60338,74
837,5.8904,-5.15328,343.49092,40562
838,5.39022,-3.7389,167.0027,19718
839,5.32155,-4.01161,0.24418,28
840,5.3476,-5.70236,434.95177,51367
841,5.76855,-6.4037,108.2425,12785
842,5.31053,-3.99532,0.3572,40
843,9.01258,-3.09166,4282.91431,505498
844,5.3765,-3.59099,161.59121,19078
845,5.40233,-4.42395,44.82399,5295
846,5.2913,-3.97445,0.35427,35
847,5.74289,-4.40539,155.62022,18382
848,5.32587,-4.11115,0.6824,77
849,6.85414,-6.45546,18.97265,2239
850,6.74034,-3.50854,30.6561,3619
851,5.3449,-3.96162,0.74152,85
852,5.67328,-6.28384,123.0729,14528
853,5.66208,-6.27318,42.38021,5002
854,10.33521,-5.4915,401.96692,47396
855,9.95601,-5.12441,522.70295,61565
856,8.26199,-7.88025,524.69553,61878
857,7.29627,-4.04931,497.37605,58735
858,5.2876,-3.96589,0.49348,56
859,6.04161,-5.79925,106.9565,12630
860,6.38541,-5.41768,70.58138,8334
861,6.40341,-5.41934,95.80831,11309
862,8.39806,-5.16696,1408.08024,166277
863,5.5673,-6.59038,265.10804,31313
864,6.30551,-5.93596,143.42519,16938
865,6.01594,-6.5866,93.24778,11014
866,5.37469,-4.01503,1.50849,170
867,5.94054,-6.59569,35.88037,4236
868,7.18268,-5.8045,611.25554,72183
869,5.35321,-4.00224,0.92562,110
870,5.34466,-4.79486,320.39634,37835
871,5.37888,-3.95675,1.15654,133
872,5.55654,-7.30173,1118.07202,131956
873,6.9036,-6.44529,17.1832,2022
874,4.98931,-6.18391,217.93015,25726
875,5.29005,-4.00994,2.61567,308
876,6.57907,-8.28935,375.38558,44311
877,7.28078,-6.79537,469.60786,55446
878,5.28436,-3.98451,0.99709,115
879,5.38657,-3.99857,1.58302,182
880,5.61084,-6.64696,127.90672,15104
881,5.82371,-6.72943,150.79484,17808
882,5.25955,-3.98628,1.6839,202
883,5.34573,-4.06285,0.42279,47
884,6.63701,-7.34826,303.79006,35877
885,5.33439,-4.0112,0.805,94
886,5.4528,-4.05445,1.33337,157
887,5.55206,-4.34605,286.65992,33848
888,5.72425,-4.52595,144.74261,17087
889,7.15865,-7.73554,377.78105,44615
890,10.43473,-5.6214,179.22134,21123
891,5.39119,-6.69892,397.94715,46991
892,5.32565,-4.01703,0.19312,21
893,6.49173,-8.37706,205.43108,24265
894,5.32744,-3.99475,0.71019,84
895,5.36895,-4.00495,1.1604,137
896,7.64552,-4.00483,473.4834,55912
897,5.29077,-3.98442,0.27285,27
898,5.34665,-4.0695,0.21341,22
899,5.29734,-3.98538,0.19989,27
901,5.37279,-3.99032,0.89019,101
902,5.19271,-3.72526,7.5531,891
903,5.30329,-3.97038,0.3939,47
904,5.48301,-3.19888,135.16953,15965
905,5.11101,-6.62746,138.69758,16372
906,7.43084,-4.87866,274.13103,32368
907,6.81898,-5.27597,2.12644,252
908,5.31522,-4.0201,0.40322,45
909,5.33089,-4.02081,0.08243,10
910,6.848,-5.24861,8.4988,1001
911,5.26642,-4.00986,1.21668,143
912,5.3398,-3.97985,0.69964,82
913,5.46974,-3.2041,24.10027,2848
914,5.34546,-3.9779,0.49117,56
915,5.38402,-3.96767,1.41016,156
916,5.35333,-4.02332,0.15187,16
917,6.72054,-3.47093,91.73863,10837
918,6.08949,-4.32055,221.18112,26121
919,5.30759,-4.01345,0.25616,30
920,5.33436,-4.37103,15.17525,1791
921,5.35691,-4.0722,0.37402,43
922,5.41118,-4.00059,0.43145,48
923,5.29316,-3.98581,0.29842,33
924,5.25752,-4.00281,2.61041,304
925,5.409,-4.0121,0.89449,103
926,5.33012,-4.04733,0.64042,75
927,5.26917,-3.9983,1.15643,134
928,5.41414,-4.0259,6.33463,747
929,5.96521,-6.91038,836.22038,98742
930,5.39639,-3.974,0.96054,111
931,5.28762,-5.92343,283.17204,33437
932,5.33032,-4.07411,0.16997,20
933,5.2937,-3.97885,0.24679,30
934,5.2937,-3.97885,0.18552,23
935,5.05356,-6.22134,331.09935,39093
936,6.49235,-6.2716,138.50487,16351
937,6.46048,-5.7037,220.32187,26017
938,7.45147,-5.28468,353.69562,41772
939,7.03091,-5.26827,179.44216,21189
940,5.41459,-4.00564,0.48005,56
941,5.30773,-3.99217,0.4925,56
942,9.82915,-7.56235,824.28759,97341
943,4.74054,-6.62271,4.2517,505
944,7.94023,-3.56857,777.51245,91811
945,6.64857,-5.80803,174.84772,20639
946,7.27113,-7.80299,729.6037,86154
947,5.39377,-3.13605,105.13156,12392
948,6.85661,-3.47727,240.91219,28442
949,8.26405,-8.00915,1111.18148,131018
950,5.32148,-4.04481,0.89702,99
951,6.12438,-3.31671,201.51009,23795
952,8.1486,-2.98223,458.0885,54029
953,5.34685,-4.06376,0.17388,19
954,5.82488,-6.79735,188.57672,22268
955,5.21462,-4.2825,49.10148,5801
956,4.97452,-6.08486,267.98549,30745
957,7.90846,-4.52951,1683.76915,198839
958,7.8938,-4.32936,855.70796,101038
959,5.30871,-4.01602,0.32742,39
960,5.33857,-4.03156,1.02724,120
961,5.26112,-4.00561,1.55014,182
962,7.02203,-6.30395,214.8769,25373
963,7.96507,-6.67067,219.69754,25944
964,7.72763,-5.02203,7.45589,879
965,7.4272,-6.71532,476.44833,56265
966,6.62643,-6.85801,313.05202,36968
967,5.53256,-6.69807,300.12779,35403
968,6.88935,-5.29731,64.0074,7557
969,7.64023,-7.1504,1367.23106,161447
970,5.4899,-4.0558,9.81467,1157
971,9.86594,-5.14136,643.25691,75954
972,5.35173,-4.06911,0.34135,41
973,4.77803,-6.65127,8.12856,961
974,8.13748,-5.72015,752.66391,88886
975,5.47163,-4.05409,4.48023,527
976,7.94318,-2.95294,161.64231,19088
977,5.32331,-4.08066,0.56878,66
978,9.5466,-6.20208,850.65442,100451
979,5.30574,-4.02114,1.40486,166
980,7.293,-6.52241,117.37182,13861
981,7.95702,-6.93234,1533.09998,181038
982,5.36154,-3.98066,0.67494,77
983,5.66173,-4.55474,182.89938,21597
984,9.61511,-5.39928,510.85802,60326
985,6.62776,-5.90912,103.27629,12193
986,6.07042,-4.93111,332.0079,39208
987,5.40879,-3.97438,3.89441,453
988,5.30871,-6.0388,250.94731,29638
989,8.09083,-7.83981,876.72907,103441
990,5.35332,-4.07902,0.88675,102
991,9.34565,-6.09927,1519.64102,179453
992,5.25223,-3.94186,2.05206,242
993,8.41234,-6.02397,995.44777,117549
994,5.32855,-4.02668,0.3525,41
995,5.37177,-3.99964,0.62512,69
996,5.34812,-3.9987,0.56079,65
997,6.85623,-6.4421,9.67708,1146
999,4.67466,-7.08051,176.37832,20825
1000,5.32824,-4.02345,0.11306,12
1001,7.99668,-2.7538,138.17203,16276
1002,6.64236,-4.70106,140.92123,16638
1003,7.86074,-7.78446,1469.81758,173524
1004,5.3265,-3.9588,2.32286,273
1005,5.39043,-3.97796,0.88802,101
1006,5.29805,-3.99618,0.3425,41
1007,6.61049,-5.92179,114.91139,13568
1008,5.37778,-4.09736,4.34078,513
1009,6.08752,-3.18649,293.3725,34602
1010,5.32006,-4.2262,56.93361,6713
1011,5.33832,-4.18117,30.69671,3623
1012,6.79356,-5.27362,2.35213,277
1013,5.35407,-4.06489,0.54671,63
1014,8.13737,-2.68734,972.61162,114753
1015,5.76064,-6.81946,208.47741,24622
1016,5.77325,-6.61502,56.74553,6700
1017,5.37385,-4.07593,1.12737,138
1018,5.44349,-4.0129,0.73737,87
1019,5.39411,-3.98932,0.67571,77
1020,5.34285,-4.07382,0.31592,39
1021,6.97708,-5.74737,84.65364,9993
1022,5.30824,-3.97647,0.54013,63
1023,5.24845,-3.913,0.81747,95
1024,5.33392,-4.08849,0.33611,41
1025,5.3346,-4.00063,0.35385,39
1026,5.35449,-4.03299,0.47215,50
1027,5.30919,-3.94374,1.07071,124
1028,5.43637,-4.04476,3.76716,453
1029,5.38399,-3.95642,4.01744,466
1030,5.32783,-4.01997,0.07628,8
1031,5.40626,-3.99222,0.87774,103
1032,6.88843,-6.47044,22.72273,2684
1033,5.42649,-4.02812,2.26356,266
1034,5.37558,-3.99394,0.43921,52
1035,5.35584,-3.96884,0.70963,83
1036,5.33512,-3.99796,0.30838,36
1037,5.40383,-3.99997,0.40375,47
1038,5.43652,-4.05923,10.9378,1282
1039,5.35506,-4.02071,0.1381,13
1040,5.32932,-4.10196,0.91228,108
1041,6.69812,-5.28151,165.12165,19496
1042,8.47557,-7.1747,2222.70147,262480
1043,9.51857,-5.27987,303.96038,35894
1044,9.31672,-5.31381,503.99837,59516
1045,7.59566,-6.16271,488.51317,57684
1046,7.5487,-6.1484,257.05165,30352
1047,5.35492,-3.99323,0.73909,87
1048,5.37057,-3.96647,0.76675,88
1049,6.26742,-5.06445,260.26824,30724
1050,7.98661,-3.05073,226.34348,26731
1051,4.40874,-7.35171,80.72419,9525
1052,9.05753,-5.17608,1875.35707,221457
1053,5.95243,-5.71586,245.82574,29038
1054,6.81041,-6.40686,126.40388,14923
1055,5.91089,-7.43772,1417.57678,167279
1056,7.24704,-2.97821,119.63345,14088
1057,5.76018,-6.78784,117.25877,13837
1058,7.82115,-3.14989,261.70382,30887
1059,7.18592,-3.29459,462.85871,54658
1060,7.32411,-3.18092,500.29846,59080
1062,5.31846,-4.07835,1.97331,224
1063,6.89383,-6.43264,19.03406,2239
1064,6.11685,-6.05648,117.09006,13826
1065,7.0278,-8.12547,213.68612,25232
1066,9.4444,-5.64045,58.113,6859
1067,6.39119,-5.97605,175.96991,20775
1068,7.18577,-8.19148,272.4507,32109
1069,5.32968,-4.07393,0.34095,40
1070,5.34052,-3.94638,1.96914,234
1071,6.75977,-7.24635,248.68458,29365
1072,6.82504,-5.27403,3.61535,424
1073,5.14076,-3.02598,84.06385,9901
1074,5.8993,-4.83646,161.44972,19062
1075,5.19268,-5.96234,307.49444,36310
1076,7.14027,-5.22529,149.42102,17644
1077,7.16097,-5.22684,106.99421,12636
1078,5.6064,-5.15445,386.54103,45651
1079,9.67826,-5.31433,461.95916,54550
1080,9.51785,-7.26132,1863.41643,220042
1081,6.51537,-4.60536,410.46799,48470
1082,7.40748,-4.77986,240.19472,28366
1083,8.44871,-5.75291,1400.60394,165392
1084,8.17923,-5.72526,380.95955,44988
1085,10.33107,-7.47771,1605.47183,189354
1086,7.22045,-3.06024,170.65642,20133
1087,7.37609,-7.44443,143.36942,16925
1088,8.14478,-4.95674,1127.86895,133181
1089,10.47301,-6.38495,1587.53487,187134
1090,6.53417,-8.48424,219.22185,25726
1091,6.09073,-5.86879,158.09989,18666
1092,5.89672,-4.95334,232.33986,27425
1093,6.92656,-5.49824,85.30799,10074
1094,8.30269,-6.10715,1071.33821,126509
1095,9.93417,-5.70189,595.1391,70278
1096,8.07038,-6.19496,588.33128,69480
1097,6.34325,-5.64284,122.4957,14468
1098,6.94514,-6.46502,100.17789,11833
1099,8.81967,-5.67563,1657.9419,195777
1100,5.32931,-3.94335,4.45998,515
1101,8.28643,-7.68257,471.0204,55549
1102,8.27594,-7.6837,1021.94449,120659
1103,5.29364,-6.51971,226.81424,26782
1104,5.14961,-4.80471,151.72186,17880
1105,6.57632,-8.43793,228.70699,26905
1106,6.55424,-5.01708,60.41695,7137
1107,10.38016,-5.72954,529.7022,62498
1108,9.907,-6.51098,798.17521,94257
1109,5.30014,-4.537,194.84834,23014
1110,7.53876,-2.98189,456.10685,53800
1111,5.30425,-4.0087,0.36215,41
1112,7.67953,-5.01455,4.33656,510
1113,5.3284,-4.05971,0.49915,52
1114,5.46018,-4.05164,3.79162,445
1115,5.28153,-4.00469,1.18826,140
1116,5.36336,-4.07657,1.01753,118
1117,6.66258,-4.73605,233.47313,27563
1118,7.41285,-6.64351,189.28442,22350
1119,7.66614,-5.58228,331.66908,39170
1120,7.46648,-6.99726,825.84049,97524
1121,7.37599,-6.47807,380.57658,44941
1122,5.35145,-3.97683,0.39407,44
1123,5.38353,-4.14637,48.59741,5732
1124,5.43178,-4.01815,0.5963,70
1125,5.30777,-4.00767,0.28782,31
1126,5.26851,-4.0194,15.91426,1874
1127,5.33927,-4.07344,0.50937,59
1128,5.41305,-4.01321,0.71991,86
1129,5.3466,-4.06794,0.27505,37
1130,4.9242,-6.78699,372.17211,43955
1131,5.36649,-4.02197,0.74297,86
1132,5.33492,-4.1067,0.98213,121
1133,6.17426,-7.02806,725.71097,85694
1134,5.95903,-6.60053,44.29064,5228
1135,6.9481,-3.39672,196.31098,23185
1136,5.81896,-3.96198,258.52118,30529
1137,6.18995,-3.64934,172.45693,20239
1138,5.39204,-3.96887,2.49339,294
1139,5.973,-6.50883,101.34619,11968
1140,6.84096,-5.25721,5.60231,662
1141,5.34528,-4.08516,0.55194,64
1142,6.70674,-5.85137,219.63099,25937
1143,7.73212,-3.96718,612.05091,72269
1144,5.25206,-3.63028,63.23679,7464
1145,5.80487,-3.16087,318.03289,37542
1146,5.41814,-4.00722,0.60086,69
1147,5.27008,-5.10758,389.42261,45966
1148,5.32265,-4.07045,1.011,117
1149,5.34235,-4.07824,0.57484,64
1150,5.36603,-4.08983,1.03136,123
1151,6.4074,-5.8321,188.7892,22294
1152,8.09256,-3.69119,1892.22215,223449
1153,6.22228,-7.48596,642.55413,75892
1154,6.92609,-6.03688,112.9182,13329
1155,10.08552,-6.37152,643.19664,75953
1156,6.80988,-5.26091,1.89571,220
1157,6.96702,-6.66027,355.0573,41930
1158,6.24335,-6.50284,175.21077,20690
1159,6.8007,-6.24261,242.16327,28596
1160,6.72827,-5.38096,176.17376,20804
1161,7.43014,-6.0607,129.52837,15301
1162,6.4316,-5.35676,218.00924,25745
1163,8.04789,-2.81641,219.15648,25881
1164,6.4347,-3.37261,320.19461,37831
1165,6.13737,-5.30823,84.0655,9897
1166,6.88582,-5.41812,189.47596,22361
1167,6.56304,-7.84329,1227.9748,144998
1168,6.98668,-8.1624,161.46475,19053
1169,6.35412,-5.93684,79.54501,9369
1170,6.91755,-6.53011,121.05377,14291
1171,5.16986,-5.5914,224.63936,26543
1172,6.13588,-5.20076,151.14073,17844
1173,6.5473,-5.78556,159.44444,18826
1174,7.05459,-3.95803,121.8052,14364
1175,5.33464,-3.9465,1.10524,128
1176,6.90591,-6.36965,142.87387,16857
1177,5.89035,-6.59438,80.0217,9449
1178,5.36922,-4.08145,0.88191,103
1179,7.12068,-8.13137,253.2157,29901
1180,5.76957,-5.46719,146.64291,17288
1181,6.0531,-5.71607,360.61215,42571
1182,7.09745,-5.07372,223.75995,26416
1183,6.31457,-6.15944,174.12403,20568
1184,5.3791,-3.9918,0.67996,76
1185,6.98271,-7.83512,1039.06662,122707
1186,6.91842,-8.1973,166.75166,19657
1187,6.78692,-6.77645,315.76981,37289
1188,6.21337,-6.6123,153.36559,18111
1189,6.78226,-6.87623,136.89287,16167
1190,6.48283,-6.28041,76.71123,9058
1191,5.3969,-4.00401,0.56194,65
1192,7.43006,-6.04061,87.30924,10303
1193,5.25859,-3.96289,0.52033,60
1194,5.35017,-4.06141,0.54982,64
1195,9.90639,-5.72909,733.71599,86639
1196,5.71778,-3.40165,1003.04838,118454
1197,6.08045,-5.21021,103.04337,12168
1198,6.85349,-4.09866,248.83744,29386
1199,6.01521,-4.37496,124.66722,14717
1201,5.25,-3.91903,3.48785,409
1202,6.5901,-6.55905,221.69149,26181
1203,7.81095,-3.3192,375.31261,44313
1204,5.2294,-5.46468,271.36857,32019
1206,6.7795,-6.44064,180.63262,21327
1207,6.94076,-5.96685,295.01241,34831
1209,7.67826,-3.22445,276.37609,32642
1210,7.69691,-3.12235,257.70044,30428
1211,6.94568,-4.33135,457.80283,54060
1212,7.51404,-6.05799,236.98931,27985
1214,6.80411,-5.72595,303.34749,35822
1215,7.2397,-5.26448,267.28122,31565
1216,7.88071,-3.28543,498.15704,58825
1217,6.47726,-5.55296,213.37025,25196
1218,7.95923,-3.12862,395.3737,46691
1219,5.51434,-5.3023,234.90207,27724
1220,5.59192,-4.62787,497.35319,58718
1221,7.54722,-3.57746,1216.14914,143609
1222,5.37298,-4.39198,28.93981,3418
1223,7.44809,-4.66008,684.95672,80890
1224,7.40108,-4.99402,305.38799,36054
1225,5.41775,-4.25572,129.28318,15256
1226,6.83788,-4.8201,796.87489,94092
1227,7.36526,-3.89118,343.91266,40611
1228,5.32088,-4.08288,0.40322,48
1229,5.33874,-4.05858,0.29238,34
1230,6.90734,-5.54117,216.94626,25617
1231,5.32095,-4.0144,0.07715,9
1232,5.30448,-3.9823,0.42362,48
1233,7.28855,-7.5864,267.16149,31544
1236,5.33838,-4.08433,0.56109,66
1237,5.35042,-4.08655,0.56703,67
1238,6.6302,-4.60349,207.12802,24466